"";"Site";"Depth";"Velocity";"D50";"Temp";"Fry";"Parr1";"Parr2"
"1";1;"50.6667";"0.3867";"119";"17.5767";"3";"3";"6"
"2";2;"37.9333";"0.6333";"173.8333";"20.8533";"1";"5";"0"
"3";3;"26.7333";"0.2733";"94.6667";"21.3033";"3";"3";"0"
"4";4;"48.4333";"0.3817";"124.3333";"19.3333";"9";"5";"0"
"5";5;"46.9333";"0.4";"113.6667";"19.5967";"4";"5";"0"
"6";6;"67.9667";"0.13";"12.6";"18.9933";"5";"1";"0"
"7";7;"40.0667";"0.5333";"75.5";"19.9967";"9";"4";"4"
"8";8;"45";"0.4";"50.5";"18.6167";"4";"1";"0"
"9";9;"63.1667";"0.2033";"17.9333";"16.87";"4";"2";"0"
"10";10;"29.3";"0.4367";"46.8667";"19.8467";"12";"1";"0"
"11";11;"39.7333";"0.3433";"127.5";"20.4133";"13";"11";"0"
"12";12;"37.1";"0.5967";"58.1667";"18.8667";"10";"2";"1"
"13";13;"32.7";"0.34";"75.6667";"19.9333";"5";"4";"0"
"14";14;"39.0667";"0.4833";"16.8667";"17.0733";"2";"1";"0"
"15";15;"34.6667";"0.4167";"39.5667";"14.7833";"15";"2";"0"
"16";16;"37.5667";"0.5867";"70.8333";"14.9167";"19";"2";"1"
"17";17;"30.6667";"0.4267";"60.3333";"13.16";"48";"20";"2"
"18";18;"54.0667";"0.19";"58.9333";"14.74";"16";"11";"3"
"19";19;"37.1333";"0.4067";"40.6667";"14.28";"25";"6";"0"
"20";20;"34.6667";"0.36";"77.5";"19.8067";"6";"3";"1"
"21";21;"29.4";"0.31";"80.8333";"14.4333";"12";"10";"5"
"22";22;"50.4667";"0.24";"110.3333";"15.3667";"5";"9";"2"
"23";23;"31.5333";"0.45";"51.5";"15.17";"4";"5";"1"
"24";24;"41.2333";"0.2833";"133.8333";"14.87";"11";"2";"4"
"25";25;"55.0333";"0.2";"131.8333";"15.1767";"8";"7";"4"
"26";26;"23.5";"0.2433";"61.5";"15.0967";"24";"4";"3"
"27";0;"40.951 (±11.064)";"0.371 (±0.131)";"77.876 (±41.185)";"17.349 (±2.519)";"10.7 (±10)";"5 (±4.3)";"1.4 (±1.9)"
